outfall_id,receiving_waters,events2018,volume2018,events2016,volume2016,events2015,volume2015,events2014,volume2014,events2013,volume2013,events2006,volume2006,location,discharge_activation_type,treatment_plant,facility,spdes_id,latitude,longitude,of_size
WIM-010,East River,1,0,0,0,0,0,0,0,0,0,0,0,E 84TH STREET (REG # 9),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-010,40.77305,-73.9444,"16"""" DIA"
WIM-009,East River,1,0,0,0,0,0,0,0,0,0,0,0,E 83RD STREET (REG # 8),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-009,40.77241,-73.945,"16"""" DIA"
WIM-008,East River,62,194,48,154,44,135,46,204,176,43,0,224,E 79TH STREET (REG # 7),Monitoring,WI,NYCDEP - Wards Island WPCP,NY0026131-008,40.77016,-73.9475,"60"""" DIA"
WIM-011,East River,23,4,19,2,11,2,17,4,3,12,0,3,E 86TH STREET (REG # 10),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-011,40.77428,-73.9433,5' X 5'
WIM-012,East River,46,28,40,26,24,20,30,31,25,28,0,41,E 89TH STREET (REG # 11),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-012,40.77637,-73.942,"60"""" DIA"
NCM-069,East River,10,7,9,3,14,4,13,7,8,18,0,8,BROAD STREET (REG # M-10),Monitoring,NC,NYCDEP - Newtown Creek WPCP,NY0026204-069,40.70151,-74.011,5' X 4' FT
NCM-051,East River,8,1,3,0,11,0,5,0,1,18,0,0,Old Slip ( Reg # M-12),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-051,40.70292,-74.0077,"48"""" DIA"
NCM-068,East River,3,0,2,0,11,0,3,0,0,17,0,0,COENTIES SLIP (REG # M -11),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-068,40.70189,-74.0094,"4' 6"""" X 3' 8"""""
NCM-031,East River,25,3,30,3,26,2,26,5,4,30,0,1,E 70TH STREET (REG # M-51B),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-031,40.76452,-73.9523,3' X 2' EGG
NCM-030,East River,9,0,11,0,14,0,17,0,0,17,0,0,E 71ST STREET (REG # M-51C),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-030,40.76514,-73.9518,3' X 2' EGG
NCM-053,East River,8,10,18,1,17,2,18,3,3,22,0,3,E 11TH STREET (REG # M-35),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-053,40.72444,-73.9721,"5' X 8' 9"""" FT"
NCM-052,East River,23,26,22,16,18,23,19,34,31,20,0,41,E 14TH STREET (REG # M-36),Monitoring,NC,NYCDEP - Newtown Creek WPCP,NY0026204-052,40.72674,-73.9716,DBL 6' X 7'
NCM-054,East River,9,5,12,1,15,1,13,1,1,12,0,3,E 8TH STREET (REG # M-34),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-054,40.72262,-73.9725,"6' 6"""" X 5' FT"
NCM-028,East River,0,0,1,0,0,0,2,0,0,0,0,0,DELANCY STREET (REG # M-28),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-028,40.71489,-73.975,4' X 4' FT
NCM-058,East River,23,16,32,20,42,22,31,32,30,37,0,37,IRVINGTON STREET (REG # M-29),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-058,40.71593,-73.9746,"5' 6"""" X 5' FT"
NCM-059,East River,18,8,37,15,49,18,34,23,23,41,0,44,50' S/O GRAND STREET (REG # M-26),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-059,40.71252,-73.9761,6' X 3' FT
NCM-060,East River,6,0,20,1,23,1,19,2,2,27,0,4,S/O CORLEARS HOOK PARK (REG # M-25),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-060,40.71053,-73.9781,5' X 4' FT
NCM-042,East River,6,2,17,2,10,1,12,4,2,17,0,0,BROOME STREET (REG # M-27),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-042,40.71369,-73.9756,4' X 4' FT
WIM-005,East River,53,7,42,6,29,5,32,7,6,31,0,10,E 76TH STREET (REG # 4),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-005,40.76826,-73.9491,"3' 6"""" X 2' 0"""" Egg"
WIM-004,East River,60,9,45,8,34,6,38,9,8,39,0,12,E 75TH STREET (REG # 3),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-004,40.76764,-73.9496,"3' 6"""" X 2' 0"""" Egg"
WIM-007,East River,54,8,39,6,29,5,33,8,6,30,0,11,E 78TH STREET (REG # 6),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-007,40.76949,-73.9481,3' X 2' EGG
WIM-006,East River,59,8,43,7,32,5,35,8,7,35,0,12,E 77TH STREET (REG # 5),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-006,40.76889,-73.9486,"3' 6"""" X 3' 0"""" Egg"
WIM-003,East River,65,119,46,92,43,75,58,126,102,43,0,115,"E 74TH STREET (REG # 2A, 2B)",Monitoring,WI,NYCDEP - Wards Island WPCP,NY0026131-003,40.76702,-73.9501,"72"""" DIA"
WIM-002,East River,59,9,47,7,42,6,44,9,8,43,0,11,E 73RD STREET (REG # 1),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-002,40.76643,-73.9506,"3' 6"""" X 2' 0"""" Egg"
NCM-011,East River,0,0,0,0,0,0,0,0,0,0,0,0,E 48TH STREET (REG # M-47A),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-011,40.75168,-73.9648,"4' X 2' 8"""" Egg"
NCM-016,East River,9,2,9,1,15,1,12,2,3,16,0,4,E 46TH STREET (REG # M-46),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-016,40.75039,-73.9659,4' X 4' FT
NCM-035,East River,13,2,18,2,18,3,18,4,4,18,0,5,E 53RD STREET (REG # M-48A),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-035,40.75461,-73.9621,"4' X 2' 4"""" FT"
NCM-034,East River,8,2,7,1,7,1,10,2,2,10,0,0,E 54TH STREET (REG # M-48),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-034,40.75506,-73.9615,5' X 4' FT
NCM-036,East River,15,63,22,51,18,62,21,98,90,19,0,81,E 49TH STREET (REG # M-47),Monitoring,NC,NYCDEP - Newtown Creek WPCP,NY0026204-036,40.75221,-73.9642,"54"""" DIA"
NCM-020,East River,14,7,32,11,27,7,26,16,14,32,0,4,E HOUSTON STREET (REG # M-31),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-020,40.71853,-73.9736,"6' X 4' 6"""" FT"
NCM-056,East River,32,25,46,40,56,48,42,64,63,43,0,72,E 3RD STREET (REG # M-32),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-056,40.71888,-73.9735,"6' 6"""" X 6' FT"
NCM-067,East River,10,4,13,2,17,4,15,6,6,19,0,6,MAIDEN LANE (REG # M -13A),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-067,40.70494,-74.0044,6' X 6' FT
NCM-065,East River,4,1,6,3,5,1,5,7,2,5,0,0,S/O CATHERINE STREET (REG # M-18),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-065,40.7089,-73.9963,"4' 6"""" X 4' FT"
NCM-063,East River,11,12,26,18,29,21,23,31,28,24,0,45,JEFFERSON STREET (NORTH SIDE) (REG # M-21),Monitoring,NC,NYCDEP - Newtown Creek WPCP,NY0026204-063,40.70914,-73.9883,"48"""" DIA"
NCM-044,East River,1,0,3,0,17,0,2,0,0,14,0,1,E 29TH STREET (REG # M-41A),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-044,40.73935,-73.9726,"5' 6"""" X 4' FT"
NCM-045,East River,16,18,21,13,21,17,21,26,24,21,0,34,E 26TH STREET (REG # M-40),Monitoring,NC,NYCDEP - Newtown Creek WPCP,NY0026204-045,40.73703,-73.9726,"DBL 6' 6"""" X 6'"
NCM-078,East River,4,1,26,7,25,6,21,10,9,23,0,11,N/O DOVER STREET (REG # M -16),Monitoring,NC,NYCDEP - Newtown Creek WPCP,NY0026204-078,40.7077,-73.9995,12' X 6'
NCM-032,East River,7,3,3,1,10,2,9,3,4,15,0,6,E 61ST STREET (REG # M-50),Monitoring,NC,NYCDEP - Newtown Creek WPCP,NY0026204-032,40.75946,-73.9575,"DBL 6' 6"""" X 5'"
NCM-043,East River,12,3,21,2,21,3,18,5,5,18,0,4,E 30TH STREET (REG # M-41),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-043,40.74002,-73.9723,"4' X 2' 4"""" FT"
NCM-066,East River,10,4,26,11,33,13,23,19,17,26,0,38,ROBERT F WAGNER PLACE (REG # M -17),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-066,40.70814,-73.9989,"48"""" DIA"
NCM-057,East River,11,5,23,5,29,6,20,9,8,29,0,11,STANTON STREET (REG # M-30),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-057,40.71729,-73.9741,"5' 6"""" X 5' FT"
NCM-055,East River,15,1,22,1,20,2,20,2,2,25,0,2,E 6TH STREET (REG # M-33),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-055,40.72132,-73.9728,"5' 6"""" X 4' FT"
NCM-064,East River,15,7,21,3,18,4,19,6,6,21,0,9,MARKET SLIP (REG # M -20),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-064,40.70925,-73.9939,"54"""" DIA"
NCM-033,East River,7,1,8,0,6,0,10,1,1,9,0,1,E 57TH STREET (REG # M-49),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-033,40.75696,-73.9599,"4' X 2' 4"""" FT"
NCM-005,East River,49,47,45,34,53,38,39,54,53,44,0,79,n/o E 63RD STREET (REG # M-51),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-005,40.76104,-73.9557,"24"""" DIA"
NCM-048,East River,16,6,27,10,40,14,26,17,16,36,0,24,E 21ST STREET (REG # M-38),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-048,40.7331,-73.9737,"54"""" DIA"
NCM-061,East River,14,2,18,1,18,1,16,2,2,19,0,2,JACKSON STREET (REG # M-23),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-061,40.71028,-73.9804,4' X 3' Egg
NCM-047,East River,8,2,0,0,11,0,11,1,1,13,0,1,E 23RD STREET (REG # M-38B),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-047,40.73517,-73.9744,5' X 4' FT
NCM-062,East River,50,14,51,10,68,11,49,15,14,53,0,17,GOVERNEUR SLIP E (REG # M-22),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-062,40.70965,-73.983,"48"""" DIA"
NCM-046,East River,33,11,29,11,26,6,20,8,7,29,0,13,E 24TH STREET (REG # M-39),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-046,40.73529,-73.9727,"48"""" DIA"
NCM-049,East River,15,18,18,9,18,15,19,22,23,18,0,26,E 18TH STREET (REG # M-37),Monitoring,NC,NYCDEP - Newtown Creek WPCP,NY0026204-049,40.73146,-73.9735,6' X 8' FT
NCM-018,East River,46,13,43,9,56,10,40,14,14,42,0,14,E 41ST STREET (REG # M-45),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-018,40.74728,-73.9683,"4' X 2' 8"""" FT"
NCM-087,East River,6,4,16,5,12,2,16,6,6,18,0,1,E 22ND STREET (REG # M-38A),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-087,40.73431,-73.9742,"5' X 3' 6"""" FT"
NCM-017,East River,8,1,0,0,0,0,0,0,0,0,0,0,E 42ND STREET (REG # M-45A),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-017,40.74803,-73.9679,"4' X 2' 8"""""
NCM-037,East River,6,3,5,0,5,1,5,3,2,5,0,0,E 41ST STREET (REG # M-44),Monitoring,NC,NYCDEP - Newtown Creek WPCP,NY0026204-037,40.74727,-73.9683,9' X 7' FT
NCM-041,East River,17,21,18,15,22,20,20,29,28,22,0,45,E 33RD STREET (REG # M-42),Monitoring,NC,NYCDEP - Newtown Creek WPCP,NY0026204-041,40.7426,-73.9718,DBL 8' X 6'
NCM-040,East River,0,0,5,0,14,0,1,0,0,17,0,1,E 36th STREET (REG # M-43),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-040,40.74445,-73.971,"5' 6"""" X 2' 8"""" FT"
NCM-039,East River,6,0,5,0,19,1,7,1,1,22,0,5,E 37TH STREET (REG # M-43A),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-039,40.74495,-73.9704,"5' 6"""" X 2' 8"""" FT"
NCM-038,East River,15,8,20,5,20,7,20,11,10,20,0,9,E 38TH STREET (REG # M-43B),Model,NC,NYCDEP - Newtown Creek WPCP,NY0026204-038,40.74548,-73.97,5' X 4' FT
WIM-016,East River,50,25,39,22,28,18,32,29,22,31,0,30,E 95TH STREET (REG # 15),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-016,40.78204,-73.9438,"48"""" DIA"
WIM-014,East River,45,1,35,1,14,0,22,1,1,20,0,1,E 91ST STREET (REG # 13),Model,WI,NYCDEP - Wards Island WPCP,NY0026131-014,40.77841,-73.9428,"15"""" DIA"
RH-010,East River,3,0,10,0,7,0,4,0,0,5,0,0,ORANGE STREET (REG # R-16 ),Model,RH,NYCDEP - Red Hook WPCP,NY0027073-010,40.70007,-73.9973,"18"""" DIA"
HP-017,East River,56,70,38,36,35,47,36,66,50,60,0,35,EMERSON AVENUE (REG #11),Monitoring,HP,NYCDEP - Hunt's Point WPCP,NY0026191-017,40.81127,-73.8263,14' X 8'
BB-018,East River,29,1,18,0,21,1,21,1,1,21,0,2,49TH AVENUE (REG # L-12A),Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-018,40.74438,-73.9589,"16"""" DIA"
BB-021,East River,44,21,33,16,35,17,36,29,19,31,0,31,47TH AVENUE (REG # L-15),Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-021,40.74651,-73.9588,"48"""" DIA"
BB-033,East River,41,5,30,4,28,4,33,7,5,29,0,9,27TH AVENUE (REG # L-27),Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-033,40.77588,-73.9371,"15"""" DIA"
WIM-001,East River,0,0,0,0,0,0,0,0,0,0,0,0,WARDS ISLAND W.P.C.P. OUTFALL,Model,WI,NYCDEP - Wards Island WPCP,NY0026131-001,40.78652,-73.9207,"144"""" DIA"
HP-001,East River,0,0,0,0,0,0,0,0,0,0,0,0,HUNTS POINT W.P.C.P. OUTFALL,Model,HP,NYCDEP - Hunt's Point WPCP,NY0026191-001,40.80228,-73.8825,"84"""" DIA"
RH-001,East River,0,0,0,0,0,0,0,0,0,0,0,0,RED HOOK W.P.C.P. OUTFALL,Model,RH,NYCDEP - Red Hook WPCP,NY0027073-001,40.70422,-73.9773,"96"""" DIA"
RH-040,East River,34,23,26,21,19,17,25,29,24,23,0,37,EAST RIVER & NAVY YARD,Model,RH,NYCDEP - Red Hook WPCP,NY0027073-040,40.70335,-73.9774,"72"""" DIA"
RH-003,East River,8,1,10,1,7,0,6,0,0,5,0,0,HUDSON AVENUE ( REG # R-21 ),Model,RH,NYCDEP - Red Hook WPCP,NY0027073-003,40.70579,-73.9811,"4' 6"""" X 7' 3"""""
HP-032,East River,0,0,0,0,0,0,0,0,0,0,0,0,RIKERS ISLAND NORTH PUMPING STATION,Model,HP,NYCDEP - Hunt's Point WPCP,NY0026191-032,40.79751,-73.8862,"14"""" DIA"
BB-053,East River,0,0,0,0,0,0,0,0,0,0,0,0,SHORE BLVD AND 20 AVE,Monitoring,BB,NYCDEP - Bowery Bay WPCP,NY0026158-053,40.78616,-73.9154,
NCB-001,East River,0,0,0,0,0,0,0,0,0,0,0,0,NEWTOWN CREEK W.P.C.P. OUTFALL,Monitoring,NC,NYCDEP - Newtown Creek WPCP,NY0026204-001,40.73176,-73.9655,"144"""" DIA"
TI-026,East River,0,0,0,0,0,0,0,0,0,0,0,0,W/O 154TH STREET,,TI,NYCDEP - Tallmans Island WPCP,NY0026239-005,40.7964,-73.8064,"48"""" DIA"
NCM-038A,East River,0,0,0,0,0,0,0,0,0,0,0,0,E 38TH STREET (REG # M-43B),,NC,NYCDEP - Newtown Creek WPCP,NY0026204-038A,40.74544,-73.97,5' X 4' FT
TI-001,East River,0,0,0,0,0,0,0,0,0,0,0,0,127TH STREET (WPCP OUTFALL),Monitoring,TI,NYCDEP - Tallmans Island WPCP,NY0026239-001,40.79768,-73.8404,"60"""" DIA"
BB-027,East River - East Channel,41,5,27,4,31,4,25,8,5,28,0,8,38TH AVENUE (REG # L-20),Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-027,40.7601,-73.9469,"72"""" DIA"
BB-022,East River - East Channel,38,1,18,1,28,1,18,2,1,28,0,2,5TH STREET (REG # L-16),Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-022,40.74804,-73.9548,"18"""" DIA"
BB-025,East River - East Channel,48,9,27,7,31,7,29,13,8,27,0,18,41ST AVENUE (REG # L-19),Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-025,40.75727,-73.9492,"57"""" DIA"
BB-030,East River - East Channel,63,29,45,21,48,11,45,17,12,44,0,19,30TH ROAD (REG # L-23),Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-030,40.77119,-73.9349,"DBL 9' 6"""" X 6'"
BB-029,East River - East Channel,47,86,26,75,32,65,27,125,77,30,0,180,BROADWAY(REG # L-22),Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-029,40.76858,-73.9378,"14' 6"""" X 8' 10"""" FT"
BB-028,East River - East Channel,48,182,40,263,47,260,44,417,285,41,0,456,37TH AVENUE (REG # L-21),Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-028,40.76144,-73.9457,"DBL 12' X 8' 2"""""
BB-023,East River - East Channel,43,16,26,13,30,14,33,21,15,31,0,27,44TH DRIVE (REG # L-17),Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-023,40.74963,-73.9556,"66"""" DIA"
BB-024,East River - East Channel,45,32,25,25,34,27,32,48,30,31,0,97,43RD AVENUE (REG # L-18),Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-024,40.75362,-73.9522,"7' 8"""" X 7' 7"""" ARCH"
BB-056,East River - East Channel,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt Island South Pumping Station,Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-056,40.75278,-73.9572,"24"""" DIA"
BB-055,East River - East Channel,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt Island Middle Pumping Station,Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-055,40.76573,-73.945,"30"""" DIA"
BB-054,East River - East Channel,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt Island North Pumping Station,Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-054,40.76873,-73.9423,"18"""" DIA"
HP-029,Eastchester Bay,49,15,27,3,26,3,33,4,4,34,0,4,WATT AVENUE (CSO #21),Model,HP,NYCDEP - Hunt's Point WPCP,NY0026191-029,40.84856,-73.8154,"15"""" DIA"
HP-028,Eastchester Bay,0,0,0,0,0,0,0,0,0,0,0,0,OUTLOOK AVENUE (CSO #20),Model,HP,NYCDEP - Hunt's Point WPCP,NY0026191-028,40.84412,-73.8166,"12"""" DIA"
HP-006,Eastchester Bay,0,0,0,0,0,0,0,0,0,0,0,0,BARTOW AVENUE (CO-OP CITY SOUTH PS),Model,HP,NYCDEP - Hunt's Point WPCP,NY0026191-006,40.8688,-73.8217,"15' 0"""" X 8' 6"""""
HP-024,Eastchester Bay,57,229,43,159,34,159,39,259,177,43,0,254,E. 233RD STREET (REG #15A),Model,HP,NYCDEP - Hunt's Point WPCP,NY0026191-024,40.88783,-73.8243,"12' 6"""" X 10'"
HP-023,Eastchester Bay,63,215,49,134,42,157,42,210,161,65,0,115,CONNOR STREET (REG #15),Model,HP,NYCDEP - Hunt's Point WPCP,NY0026191-023,40.88044,-73.8214,"12'0"""" X 6'6"""""
HP-005,Eastchester Bay,6,0,0,0,0,0,0,0,0,0,0,0,HOLLARS AVENUE (PUMP STATION),Model,HP,NYCDEP - Hunt's Point WPCP,NY0026191-005,40.88683,-73.8204,"12"""" DIA"
HP-031,Eastchester Bay,58,22,41,16,30,16,35,26,18,44,0,83,BELLAMY LOOP (NORTH),Model,HP,NYCDEP - Hunt's Point WPCP,NY0026191-031,40.87381,-73.8236,"72"""" DIA"
NCB-015,English Kills,41,314,37,229,33,102,34,587,438,35,33,308,JOHNSON AVE (REG # B-1),Monitoring,NC,NYCDEP - Newtown Creek WPCP,NY0026204-015,40.7087,-73.9304,16' X 10'
BB-006,Flushing Bay,63,1053,53,649,53,816,59,1196,827,48,0,1434,"114TH STREET (REG # 10, 12 & 13)",Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-006,40.76017,-73.8546,"4BL 10' 6"""" X 9' 2"""""
BB-008,Flushing Bay,63,1097,48,292,51,426,57,582,449,48,0,534,"31ST DRIVE (REG # 6, 7, 8, 9)",Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-008,40.76246,-73.859,"DBL 13' 9"""" X 8'"
TI-014,Flushing Bay,51,19,39,11,34,11,39,16,11,32,32,2,23RD AVENUE (REG # 7),Model,TI,NYCDEP - Tallmans Island WPCP,NY0026239-014,40.77859,-73.8495,"12"""" DIA"
BB-007,Flushing Bay,65,183,45,102,10,1,16,3,1,12,0,3,e/o 27th Avenue (Reg # 5),Model,BB,NYCDEP - Bowery Bay WPCP,NY0026158-007,40.76642,-73.8624,11' X 7'
TI-015,Flushing Bay,35,6,33,3,23,3,26,5,3,23,29,1,22ND AVENUE (REG # 6),Model,TI,NYCDEP - Tallmans Island WPCP,NY0026239-015,40.78015,-73.8503,"12"""" DIA"
TI-018,Flushing Bay,45,8,45,5,34,5,37,7,5,31,34,2,14TH AVENUE (REG # 3),Model,TI,NYCDEP - Tallmans Island WPCP,NY0026239-018,40.78554,-73.859,"7' 7"""" X 4' 10"""" Egg"
TI-016,Flushing Bay,58,47,47,29,39,28,43,40,31,39,45,28,20TH AVENUE (REG # 5),Model,TI,NYCDEP - Tallmans Island WPCP,NY0026239-016,40.78167,-73.8492,"60"""" DIA"
TI-017,Flushing Bay,34,5,29,3,24,2,26,4,3,22,10,0,15TH AVENUE (REG # 4),Model,TI,NYCDEP - Tallmans Island WPCP,NY0026239-017,40.78375,-73.8581,"12"""" DIA"
TI-012,Flushing Bay,0,0,0,0,0,0,0,0,0,0,0,0,29TH AVENUE (REG # 9),Model,TI,NYCDEP - Tallmans Island WPCP,NY0026239-012,40.772,-73.8497,"10"""" DIA"
TI-022,Flushing Creek,72,115,65,65,53,62,67,95,70,57,55,30,40TH ROAD (REG # 55 - 58),Monitoring,TI,NYCDEP - Tallmans Island WPCP,NY0026239-022,40.756,-73.8385,"8' 6"""" X 6'"
TI-010,Flushing Creek,60,873,16,463,28,398,19,479,94,15,73,1580,"ROOSEVELT AVENUE (REG # 30, 31, 40, 44)",Monitoring,TI,NYCDEP - Tallmans Island WPCP,NY0026239-010,40.75548,-73.8387,"3BL 18' 6"""" X 10'"
